Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies102955228,Salvar o fogo,Itamar Vieira Junior,"Junior, Itamar Vieira",,"=""6556924172""","=""9786556924175""",0,4.22,Todavia,Hardcover,320,2023,2023,,2024/09/07,to-read,to-read (#133),to-read,,,,0,0
82888,Dom Casmurro,Machado de Assis,"Assis, Machado de",,"=""0850515033""","=""9780850515039""",0,4.32,Luso-Brazilian Books,Paperback,176,2005,1899,,2024/07/04,currently-reading,currently-reading (#2),currently-reading,,,,1,0
34852067,Lugar de Negro,Lélia Gonzalez,"Gonzalez, Lélia",Carlos Hasenbalg,"=""""","=""""",0,4.37,Marco Zero,,115,1982,,,2024/08/21,to-read,to-read (#132),to-read,,,,0,0
500503,"Sailor Moon, Vol. 1 (Sailor Moon, #1)",Naoko Takeuchi,"Takeuchi, Naoko",,"=""189221301X""","=""9781892213013""",0,4.32,Tokyopop,Paperback,200,1998,1992,,2024/08/16,to-read,to-read (#131),to-read,,,,0,0
122779179,Na Sala dos Espelhos,Liv Strömquist,"Strömquist, Liv",Kristin Lie Garrubo,"=""6584953076""","=""9786584953079""",0,4.24,Quadrinhos na Cia,Paperback,168,2023,2021,,2024/08/10,to-read,to-read (#130),to-read,,,,0,0
2735090,Oms en série,Stefan Wul,"Wul, Stefan",,"=""2070415600""","=""9782070415601""",0,3.63,Folio,Mass Market Paperback,185,2000,1957,,2024/08/09,to-read,to-read (#129),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,4.13,Vintage International,Paperback,467,2006,2002,,2024/07/18,to-read,to-read (#128),to-read,,,,0,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",0,3.99,New Directions,Paperback,176,1958,1948,,2024/07/18,to-read,to-read (#127),to-read,,,,0,0
6468157,Homunculus 1,Hideo Yamamoto,"Yamamoto, Hideo",,"=""""","=""""",0,4.24,,ebook,256,2002,2003,,2024/07/18,to-read,to-read (#126),to-read,,,,0,0
6585597,Deuses Americanos,Neil Gaiman,"Gaiman, Neil",Fátima Andrade,"=""9722341537""","=""9789722341530""",0,4.11,Editorial Presenca,Paperback,493,2009,2001,,2024/06/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
61024787,O céu entre mundos,Sandra Menezes,"Menezes, Sandra",,"=""6587746403""","=""9786587746401""",0,3.73,Editora Malê,Paperback,166,2021,,,2024/07/05,to-read,to-read (#125),to-read,,,,0,0
75254209,Quando os pássaros voltarem (Portuguese Edition),Fernando Aramburu,"Aramburu, Fernando","Ari Roitman, Paulina Wacht","=""6555604670""","=""9786555604672""",0,3.66,Intrínseca,Kindle Edition,747,2023,2021,,2024/07/04,to-read,to-read (#124),to-read,,,,0,0
39683789,A Ordem do Tempo,Carlo Rovelli,"Rovelli, Carlo",Silvana Cobucci,"=""8547000569""","=""9788547000561""",0,4.12,Objetiva,Paperback,192,2018,2017,,2024/07/04,to-read,to-read (#123),to-read,,,,0,0
200326949,Os rostos que tenho,Nélida Piñon,"Piñon, Nélida",,"=""6555878665""","=""9786555878660""",0,4.00,Record,Kindle Edition,302,2023,,,2024/07/04,to-read,to-read (#122),to-read,,,,0,0
45167397,A Ridícula Ideia de Nunca Mais Te Ver,Rosa Montero,"Montero, Rosa",,"=""858880882X""","=""9788588808829""",0,4.11,Todavia,Kindle Edition,231,2019,2013,,2024/07/04,to-read,to-read (#121),to-read,,,,0,0
202111721,O perigo de estar lúcida,Rosa Montero,"Montero, Rosa",,"=""6556925497""","=""9786556925493""",5,4.13,Todavia,Paperback,272,2023,2022,2024/07/04,2024/03/01,,,read,Este livro me tirou da solidão. Não existo sozinha.,,,1,0
276030,O Homem que Confundiu Sua Mulher com um Chapéu,Oliver Sacks,"Sacks, Oliver",Laura Teixeira Motta,"=""8571646899""","=""9788571646896""",0,4.05,Companhia das Letras,Paperback,272,1997,1985,,2020/12/04,abandonado-temporariamente,abandonado-temporariamente (#9),abandonado-temporariamente,,,,1,0
41885460,Assim falou Zaratustra (Portuguese Edition),Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""8525431958""","=""9788525431950""",0,4.07,L&PM Editores,Kindle Edition,313,2014,1883,,2024/02/18,abandonado-temporariamente,abandonado-temporariamente (#8),abandonado-temporariamente,,,,1,0
56523604,É assim que se perde a guerra do tempo,Amal El-Mohtar,"El-Mohtar, Amal","Max Gladstone, Natalia Borges Polesso","=""6557821172""","=""9786557821176""",0,3.88,Suma,Kindle Edition,192,2021,2019,,2024/05/24,to-read,to-read (#120),to-read,,,,0,0
20744034,A Cabeça do Santo,Socorro Acioli,"Acioli, Socorro",,"=""8535923691""","=""9788535923698""",0,4.29,Companhia das Letras,Paperback,176,2014,2014,,2024/05/21,to-read,to-read (#119),to-read,,,,0,0
1820172,Violetas na Janela,Vera Lúcia Marinzeck de Carvalho,"Carvalho, Vera Lúcia Marinzeck de",Patricia,"=""857253010X""","=""""",0,3.93,Petit,Paperback,222,1994,1993,,2024/05/12,to-read,to-read (#118),to-read,,,,0,0
13000848,Anxiety and Evil in the Writings of Patricia Highsmith,Fiona Peters,"Peters, Fiona",,"=""1409423344""","=""9781409423348""",0,4.67,Routledge,Hardcover,210,2011,2011,,2024/05/01,to-read,to-read (#117),to-read,,,,0,0
251912,"Vagabond, Vol. 1",Takehiko Inoue,"Inoue, Takehiko",,"=""1591160340""","=""9781591160342""",0,4.46,VIZ Media LLC,Paperback,248,2002,1999,,2024/04/29,to-read,to-read (#116),to-read,,,,0,0
53201698,O Amanhã Não Está à Venda,Ailton Krenak,"Krenak, Ailton",,"=""""","=""""",0,4.29,Companhia das Letras,Kindle Edition,22,2020,2020,,2024/04/01,to-read,to-read (#115),to-read,,,,0,0
5152227,Eram os Deuses Astronautas?,Erich von Däniken,"Däniken, Erich von",,"=""8506032113""","=""""",0,3.53,Melhoramentos,Paperback,180,2008,1968,,2024/03/28,to-read,to-read (#114),to-read,,,,0,0
85403668,Viagem A Terra Do Brasil,Jean de Léry,"Léry, Jean de",,"=""8531904072""","=""9788531904073""",0,0.0,Itatiaia,Paperback,0,2007,,,2024/03/28,to-read,to-read (#113),to-read,,,,0,0
10358250,Inferno,August Strindberg,"Strindberg, August",Carlo Picchio,"=""8879834428""","=""9788879834421""",0,3.59,Newton Compton,Paperback,98,1994,1897,,2024/03/26,to-read,to-read (#112),to-read,,,,0,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.01,Vintage Books,Paperback,296,2000,1987,,2024/03/21,to-read,to-read (#111),to-read,,,,0,0
62315670,Impossible People: A Completely Average Recovery Story,Julia Wertz,"Wertz, Julia",,"=""0762468254""","=""9780762468256""",0,4.34,Black Dog & Leventhal,Hardcover,320,2023,2023,,2024/03/11,to-read,to-read (#110),to-read,,,,0,0
3153393,A menina que roubava livros,Markus Zusak,"Zusak, Markus",Vera Ribeiro,"=""8598078174""","=""9788598078175""",0,4.39,Intrínseca,Paperback,480,2007,2005,,2023/08/17,abandonado-temporariamente,abandonado-temporariamente (#7),abandonado-temporariamente,,,,0,0
50078730,"Boa Noite Punpun, Volume 7 (Boa Noite Punpun, #7)",Inio Asano,"Asano, Inio",,"=""8545712278""","=""9788545712275""",0,4.52,JBC,Paperback,376,2019,2017,,2023/05/21,abandonado-temporariamente,abandonado-temporariamente (#6),abandonado-temporariamente,,,,0,0
1099648,Macunaima,Mário de Andrade,"Andrade, Mário de",,"=""0394534123""","=""9780394534121""",0,3.58,Random House,Hardcover,168,1984,1928,,2024/02/23,to-read,to-read (#109),to-read,,,,0,0
6262794,Um Defeito de Cor,Ana Maria Gonçalves,"Gonçalves, Ana Maria",,"=""8501071757""","=""9788501071750""",0,4.75,Record,Paperback,952,2006,2006,,2024/02/14,to-read,to-read (#108),to-read,,,,0,0
550165,Ecotopia,Ernest Callenbach,"Callenbach, Ernest",,"=""0553348477""","=""9780553348477""",0,3.59,Bantam,Paperback,181,1990,1975,,2024/01/24,to-read,to-read (#107),to-read,,,,0,0
167029791,OS DESPOSSUIDOS,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.25,CIRCULO DO LIVRO,Board Book,0,1974,1974,,2024/01/24,to-read,to-read (#106),to-read,,,,0,0
44024444,Torto Arado,Itamar Vieira Junior,"Junior, Itamar Vieira",,"=""9896605777""","=""9789896605773""",5,4.49,Leya,Paperback,280,2019,2019,2024/01/21,2022/12/06,,,read,,,,1,0
22283948,Degenerado,Chloé Cruchaudet,"Cruchaudet, Chloé",,"=""8415850387""","=""9788415850380""",5,3.93,Dibbuks,Hardcover,160,2014,2013,2024/01/17,2024/01/09,hqs-e-afins,hqs-e-afins (#8),read,"Esplêndido, encantador, dramático, mágico, trágico ",,,1,0
3918010,Kick-Ass,Mark Millar,"Millar, Mark",John Romita Jr.,"=""0785132619""","=""9780785132615""",0,4.06,Marvel Comics,Paperback,144,2011,2010,,2024/01/17,to-read,to-read (#105),to-read,,,,0,0
75710451,Como a Europa subdesenvolveu a África (Portuguese Edition),Walter Rodney,"Rodney, Walter",Heci Regina Candiani,"=""6557171917""","=""9786557171912""",0,4.42,Boitempo Editorial,Kindle Edition,525,2022,1971,,2024/01/08,to-read,to-read (#104),to-read,,,,0,0
52196182,Canção para ninar menino grande,Conceição Evaristo,"Evaristo, Conceição",,"=""9788594417""","=""9788594417039""",0,4.22,Editora UNIPALMARES,Paperback,126,2018,,,2023/12/21,to-read,to-read (#103),to-read,,,,0,0
57238856,Kramp,María José Ferrada,"Ferrada, María José",Silvia Massimini Felix,"=""6556810037""","=""""",0,3.89,Editora Moinhos,Kindle Edition,88,2020,2017,,2023/12/18,to-read,to-read (#102),to-read,,,,0,0
13478177,Frango com Ameixas,Marjane Satrapi,"Satrapi, Marjane",Paulo Werneck,"=""8535912177""","=""9788535912173""",5,3.91,Cia. das Letras,Paperback,88,2008,2004,2023/12/15,2023/12/15,,,read,"Tamanha sensibilidade da Marjane, quero ler tudo que for possível dela <3",,,1,0
2754316,Persépolis,Marjane Satrapi,"Satrapi, Marjane",Paulo Werneck,"=""8535911626""","=""9788535911626""",5,4.40,Companhia das Letras,Paperback,352,2007,2007,2023/12/15,2021/06/02,,,read,,,,1,0
9517,"Persepolis 2: The Story of a Return (Persepolis, #2)",Marjane Satrapi,"Satrapi, Marjane",Anjali Singh,"=""0375714669""","=""9780375714665""",0,4.22,Pantheon,Paperback,187,2005,2001,,2023/11/22,to-read,to-read (#101),to-read,,,,0,0
42396389,Breves respostas para grandes questões,Stephen Hawking,"Hawking, Stephen",Cássio de Arantes Leite,"=""855100431X""","=""9788551004319""",5,4.28,Intrínseca,Hardcover,256,2018,2018,2023/10/14,2023/05/19,,,read,,,,1,0
25458688,Lavagem,Shiko,"Shiko, Shiko",,"=""""","=""""",0,4.23,Editora Mino,Hardcover,,2015,2015,,2023/10/05,to-read,to-read (#100),to-read,,,,0,0
40621488,Flores para Algernon,Daniel Keyes,"Keyes, Daniel",Luisa Geisler,"=""8576573938""","=""9788576573937""",0,4.21,Aleph,Hardcover,288,2018,1966,,2021/03/10,to-read,to-read (#68),to-read,,,,0,0
54278521,O Avesso da Pele,Jeferson Tenório,"Tenório, Jeferson",,"=""8535933395""","=""9788535933390""",0,4.55,Companhia das Letras,Paperback,192,2020,2020,,2023/08/09,to-read,to-read (#99),to-read,,,,0,0
53407528,Coisas de Loucos: O Que Eles Deixaram no Manicómio,Catarina  Gomes,"Gomes, Catarina",,"=""989671553X""","=""9789896715533""",0,4.54,Edições Tinta-da-China,Paperback,327,2020,2020,,2023/08/09,to-read,to-read (#98),to-read,,,,0,0
46046196,"Boa Noite Punpun, Volume 6 (Boa Noite Punpun, #6)",Inio Asano,"Asano, Inio",,"=""8545711190""","=""9788545711193""",5,4.51,JBC,Paperback,392,2019,2017,2023/05/21,2023/05/19,,,read,Tamanha sensibilidade... Pra mim essa história é um retrato perfeito de como é um inferno a vida de um adolescente negligenciado e solitário ,,,1,0
34119228,"Mulheres, Raça e Classe",Angela Y. Davis,"Davis, Angela Y.",,"=""8575595083""","=""""",0,4.58,Boitempo Editorial,Kindle Edition,331,2016,1981,,2020/08/25,"2022, abandonado-temporariamente","2022 (#7), abandonado-temporariamente (#5)",abandonado-temporariamente,,,,0,0
46046192,"Boa Noite Punpun, Volume 5 (Boa Noite Punpun, #5)",Inio Asano,"Asano, Inio",,"=""8545711182""","=""9788545711186""",5,4.40,JBC,Paperback,448,2019,2009,,2023/05/17,,,read,COITADA desta criança,,,1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2022/09/10,to-read,to-read (#97),to-read,,,,0,0
45229593,"Boa Noite Punpun, Volume 3 (Boa Noite Punpun, #3)",Inio Asano,"Asano, Inio",,"=""8545710607""","=""9788545710608""",5,4.41,JBC,Paperback,448,2019,2016,,2021/12/22,2021,2021 (#18),read,Tô ficando assustada com esse enredo. E sempre senti que esse tio do Punpun tinha algo sombrio a esconder... ,true,,1,0
32813190,Rita Lee: Uma Autobiografia,Rita Lee,"Lee, Rita",,"=""8525063304""","=""9788525063304""",0,4.51,Globo Livros,Paperback,296,2016,2016,,2022/08/06,to-read,to-read (#96),to-read,,,,0,0
73716,Como agua para chocolate,Laura Esquivel,"Esquivel, Laura",,"=""0385721234""","=""9780385721233""",5,3.95,Vintage Español,Paperback,248,2001,1989,2022/07/28,2022/03/11,2022,2022 (#9),read,"Confesso que meu entusiasmo sobre o romance entre Tita e Pedro já havia esfriado, mas a história me fez tirar os pés do chão e me emocionou diversas vezes. É tudo tão singelo e aconchegante que eu poderia ler muitas histórias nesse mesmo cenário. Por fim: sucumba, Mamãe Elena, sucumba!",true,,1,0
43198929,"Boa Noite Punpun, Volume 1 (Boa Noite Punpun, #1)",Inio Asano,"Asano, Inio",,"=""8545709617""","=""9788545709619""",5,4.27,JBC,Paperback,432,2018,2016,2021/01/01,2021/07/31,hqs-e-afins,hqs-e-afins (#6),read,"Tomou rumos que eu não esperava. 2º mangá que leio, o enredo é muito envolvente. :)",,,1,0
17564499,Garota Exemplar,Gillian Flynn,"Flynn, Gillian",Alexandre Martins,"=""8580572908""","=""9788580572902""",4,4.14,Intrínseca,Paperback,448,2013,2012,2022/06/29,2020/11/30,2022,2022 (#5),read,"meio bizarro esse final, mas depois de tanta atrocidade não poderia esperar menos. 4 ⭐pois me prendeu do início ao fim, gosto de histórias que exploram o que há de mais íntimo nos personagens e esse livro fez isso com maestria. obrigada Lívia pelo empréstimo s2",,,1,0
5137690,Canto dos malditos (Portuguese Edition),Austregesilo Carrano Bueno,"Bueno, Austregesilo Carrano",,"=""8532512755""","=""9788532512758""",0,4.22,Rocco,Paperback,200,2001,1990,,2022/06/08,to-read,to-read (#95),to-read,,,,0,0
44901194,Why Lhasa de Sela Matters (Music Matters),Fred Goodman,"Goodman, Fred",,"=""147731962X""","=""9781477319628""",0,4.56,University of Texas Press,Paperback,200,2019,2019,,2022/04/21,to-read,to-read (#94),to-read,,,,0,0
4579633,"Eu, Robô",Isaac Asimov,"Asimov, Isaac",Luiz Horácio da Matta,"=""8500015292""","=""9788500015298""",5,4.21,Ediouro,Paperback,318,2004,1950,2022/04/20,2022/02/16,,,read,,,,1,0
2644418,Tenda Dos Milagres,Jorge Amado,"Amado, Jorge",,"=""""","=""9789896097776""",0,3.91,Planeta DeAgostini,,330,,1969,,2022/03/11,to-read,to-read (#93),to-read,,,,0,0
32620670,Deus é matemático?,Mario Livio,"Livio, Mario",,"=""8501087750""","=""9788501087751""",0,3.85,Record,Paperback,352,2010,2009,,2022/03/02,to-read,to-read (#92),to-read,,,,0,0
24207011,Objetos Cortantes,Gillian Flynn,"Flynn, Gillian",Alexandre Martins,"=""858057658X""","=""9788580576580""",4,4.02,Intrínseca,Paperback,256,2015,2006,2022/01/31,2020/11/30,2022,2022 (#6),read,,,,1,0
49398065,Gente ansiosa,Fredrik Backman,"Backman, Fredrik",Carmen Montes Cano,"=""""","=""""",0,4.18,HarperCollins Espanol,Paperback,400,2021,2019,,2022/01/03,"2022, abandonado-temporariamente","2022 (#3), abandonado-temporariamente (#4)",abandonado-temporariamente,,,,0,0
12409576,Fogo Pálido,Vladimir Nabokov,"Nabokov, Vladimir",,"=""9727474772""","=""""",0,4.17,Planeta DeAgostini,Hardcover,270,2001,1962,,2022/01/22,to-read,to-read (#91),to-read,,,,0,0
51192765,O Labirinto Do Fauno,Guillermo del Toro,"Toro, Guillermo del",Cornelia Funke,"=""8551005200""","=""9788551005200""",5,4.26,Intrínseca,Kindle Edition,259,2019,2019,2022/01/21,2021/12/29,2022,2022 (#2),read,Igualmente belo e sombrio. ,,,1,0
6332548,A Descoberta do Mundo,Clarice Lispector,"Lispector, Clarice",,"=""8532509517""","=""9788532509512""",0,4.37,Editora Rocco,Paperback,478,199,1984,,2022/01/07,"2022, to-read","2022 (#8), to-read (#90)",to-read,,,,0,0
2344328,Mulheres que Correm com os Lobos,Clarissa Pinkola Estés,"Estés, Clarissa Pinkola",,"=""8532504442""","=""9788532504449""",0,4.13,Rocco,Paperback,628,1994,1992,,2022/01/06,"2022, abandonado-temporariamente","2022 (#4), abandonado-temporariamente (#3)",abandonado-temporariamente,,,,0,0
45229816,"Boa Noite Punpun, Volume 4 (Boa Noite Punpun, #4)",Inio Asano,"Asano, Inio",,"=""8545710615""","=""9788545710615""",5,4.38,JBC,Paperback,456,2019,2017,2022/01/05,2021/12/23,2022,2022 (#1),read,,,,1,0
32414622,¡Digo! Ni puta ni santa. Las memorias de La Veneno,Valeria Vegas,"Vegas, Valeria",Cristina Ortiz,"=""""","=""9788460883562""",0,4.00,Autoeditado,Hardcover,160,2016,2016,,2022/01/03,to-read,to-read (#89),to-read,,,,0,0
6013876,"Anjos e Demónios (Robert Langdon, #1)",Dan       Brown,"Brown, Dan",Mário Dias Correia,"=""9722514091""","=""9789722514095""",3,3.94,Bertrand Editora,Paperback,588,2005,2000,2021/07/31,2021/05/26,2021,2021 (#17),read,já não tenho mais paciência pra esses finais,,,1,0
26026378,Olhos d'Água,Conceição Evaristo,"Evaristo, Conceição",,"=""8534705259""","=""9788534705257""",5,4.44,Pallas ,Paperback,116,2014,2014,2021/08/05,2021/03/22,2021,2021 (#16),read,"""O que temos em comum é pó do qual somos feitos. É o pó que nos faz, mais nada. Mas o meu pó corre mais perigo. Meu pó vira cinza mais rápido"". Foram tantas notas que quase não pude escolher uma.",,,1,0
38898355,O Peso do Pássaro Morto,Aline Bei,"Bei, Aline",,"=""8569020236""","=""9788569020233""",5,4.48,Editora Nós,Paperback,168,2017,2017,2021/08/05,2021/04/09,2021,2021 (#15),read,Incontáveis nós na minha garganta.,,,1,0
12015154,A Sombra do Vento,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",J. Teixeira de Aguilar,"=""9896600813""","=""9789896600815""",5,4.30,Leya,Paperback,521,2011,2001,2021/10/01,2021/08/28,2021,2021 (#14),read,Perfeição,,,1,0
53100986,"Vermelho, Branco e Sangue Azul",Casey McQuiston,"McQuiston, Casey",Guilherme  Miranda,"=""8555340942""","=""9788555340949""",4,4.08,Seguinte,Paperback,392,2019,2019,2021/10/31,2021/05/20,2021,2021 (#13),read,Finais felizesssss!!! ,true,,1,0
